stt,name,price,size,support,of_players,genre,system,publisher,developer,languages,release_date
1,Pokémon™ Pokopia,$69.99,10 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","March 5, 2026"
2,Mario Tennis™ Fever,$69.99,10 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-4)",Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","February 12, 2026"
3,Animal Crossing™: New Horizons – Nintendo Switch™ 2 Edition Upgrade Pack,$4.99,3 MB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,Chưa có,"January 15, 2026"
4,Animal Crossing™: New Horizons – Nintendo Switch™ 2 Edition,,10.8 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-12)",Chưa có,Nintendo Switch 2,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","January 15, 2026"
5,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition Upgrade Pack,$9.99,1.5 GB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,Chưa có,"December 4, 2025"
6,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition,$69.99,31.6 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 4, 2025"
7,Metroid Prime™ 4: Beyond,$59.99,"Nintendo Switch: 28.9 GB , Nintendo Switch 2: 28.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 4, 2025"
8,Kirby™ Air Riders,$69.99,21.7 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Party , Racing",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","November 20, 2025"
9,Hyrule Warriors: Age of Imprisonment,$69.99,43.4 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,Action,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 6, 2025"
10,Pokémon™ Legends: Z-A – Nintendo Switch™ 2 Edition,$69.99,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
11,Pokémon™ Legends: Z-A,$59.99,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
