stt,name,price,other
1,Pokémon™ Pokopia,Chưa có,"Nintendo Switch 2 , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , 2026"
2,Mario Tennis™ Fever,Chưa có,"10 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-4) , Online Play , Save Data Cloud , Nintendo Switch 2 , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , February 12, 2026"
3,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition Upgrade Pack,Chưa có,"1.5 GB , Nintendo Switch 2 , Nintendo , December 4, 2025"
4,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition,$69.99,"31.6 GB , TV mode , Tabletop mode , Handheld mode , Save Data Cloud , Nintendo Switch 2 , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , December 4, 2025"
5,Metroid Prime™ 4: Beyond,Chưa có,"Nintendo Switch: 28.9 GB , Nintendo Switch 2: 28.9 GB , TV mode , Tabletop mode , Handheld mode , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , December 4, 2025"
6,Kirby™ Air Riders,$69.99,"25 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (1-16) , Online Play , Save Data Cloud , Nintendo Switch 2 , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , November 20, 2025"
7,Hyrule Warriors: Age of Imprisonment,Chưa có,"44.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Online, Local , Save Data Cloud , Nintendo Switch 2 , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , November 6, 2025"
8,Pokémon™ Legends: Z-A – Nintendo Switch™ 2 Edition,Chưa có,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Online Play , Nintendo Switch 2 , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , October 16, 2025"
9,Pokémon™ Legends: Z-A,$59.99,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Online Play , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , October 16, 2025"
10,Super Mario Galaxy™ 2,Chưa có,"Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.9 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , October 2, 2025"
