stt,name,price,size,support,of_players,genre,system,publisher,languages,release_date
1,Pokémon™ Pokopia,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English",2026
2,Mario Tennis™ Fever,$69.99,10 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-4)",Chưa có,Nintendo Switch 2,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","February 12, 2026"
3,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition Upgrade Pack,Chưa có,1.5 GB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"December 4, 2025"
4,Metroid Prime™ 4: Beyond – Nintendo Switch™ 2 Edition,$69.99,31.6 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch 2,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 4, 2025"
5,Metroid Prime™ 4: Beyond,$59.99,"Nintendo Switch: 28.9 GB , Nintendo Switch 2: 28.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 4, 2025"
6,Kirby™ Air Riders,$69.99,25 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-16)",Chưa có,Nintendo Switch 2,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","November 20, 2025"
7,Hyrule Warriors: Age of Imprisonment,$69.99,44.9 GB,"TV mode , Tabletop mode , Handheld mode",Single System (1-2),Chưa có,Nintendo Switch 2,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 6, 2025"
8,Pokémon™ Legends: Z-A – Nintendo Switch™ 2 Edition,$69.99,Chưa có,"TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch 2,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
9,Pokémon™ Legends: Z-A,$59.99,Chưa có,"TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
10,Super Mario Galaxy™ 2,$39.99,Chưa có,"TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 2, 2025"
