id;name;price_usd;size;support;of_players;genre;system;publisher;developer;languages;release_date;release_year;release_month;source;file_name;load_ts;load_expired;load_staging;is_deleted;date_sk
100;Nintendo Switch™ Sports;39.99;Nintendo Switch: 3.2 GB , Nintendo Switch 2: 3.2 GB;TV mode , Tabletop mode;Single System (1-4) , Online (1-2);Action , Party , Sports;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2022-04-29;2022;4;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6328
101;Kirby™ and the Forgotten Land;59.99;Nintendo Switch: 5.8 GB , Nintendo Switch 2: 5.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Adventure;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2022-03-25;2022;3;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6293
102;Pokémon™ Legends: Arceus;59.99;Nintendo Switch: 6.1 GB , Nintendo Switch 2: 6.1 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2022-01-28;2022;1;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6237
103;Big Brain Academy™: Brain vs. Brain;29.99;Nintendo Switch: 720 MB , Nintendo Switch 2: 805 MB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (1-);Training;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-12-03;2021;12;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6181
104;Pokémon™ Brilliant Diamond and Pokémon™ Shining Pearl Double Pack;119.99;;;;Role playing;Nintendo Switch;Nintendo;;;2021-11-19;2021;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6167
105;Pokémon™ Shining Pearl;59.99;Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2021-11-19;2021;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6167
106;Pokémon™ Brilliant Diamond;59.99;Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2021-11-19;2021;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6167
107;Mario Party™ Superstars;59.99;Nintendo Switch: 2.9 GB , Nintendo Switch 2: 2.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (1-4);Action , Party , Tabletop;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English;2021-10-29;2021;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6146
108;SEGA Genesis™ – Nintendo Switch Online;0.00;Nintendo Switch: 226 MB , Nintendo Switch 2: 226 MB;TV mode , Tabletop mode , Handheld mode;Single System (1-2) , Online (2-);;Nintendo Switch;Nintendo;;British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English;2021-10-25;2021;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6142
109;Nintendo 64™ – Nintendo Classics;0.00;Nintendo Switch: 1.8 GB , Nintendo Switch 2: 1.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (2-4);;Nintendo Switch;Nintendo;;British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English;2021-10-25;2021;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6142
110;Metroid™ Dread;59.99;Nintendo Switch: 4.3 GB , Nintendo Switch 2: 4.3 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure , Shooting;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-10-08;2021;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6125
111;WarioWare™: Get It Together!;49.99;Nintendo Switch: 1.3 GB , Nintendo Switch 2: 1.3 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4);Action , Party;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-09-10;2021;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6097
112;The Legend of Zelda™: Skyward Sword HD;59.99;Nintendo Switch: 7.1 GB , Nintendo Switch 2: 7.1 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-07-16;2021;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6041
113;Mario Golf™: Super Rush;59.99;Nintendo Switch: 4.2 GB , Nintendo Switch 2: 4.2 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (2-4);Action , Party , Sports;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-06-25;2021;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6020
114;Game Builder Garage™;29.99;Nintendo Switch: 1 GB , Nintendo Switch 2: 1.1 GB;TV mode , Tabletop mode , Handheld mode;;Application , Education;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-06-11;2021;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;6006
115;DC Super Hero Girls™: Teen Power;59.99;Nintendo Switch: 2 GB , Nintendo Switch 2: 2 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch;Nintendo;;Japanese, German, Italian, Latin American Spanish, Canadian French, American English;2021-06-04;2021;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5999
116;Miitopia™;49.99;Nintendo Switch: 3.1 GB , Nintendo Switch 2: 3.1 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-05-21;2021;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5985
117;Famicom Detective Club™: The Two-Case Collection;59.98;;;;Narrative adventure;Nintendo Switch;Nintendo;;;2021-05-14;2021;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5978
118;Famicom Detective Club™: The Missing Heir;34.99;Nintendo Switch: 1.6 GB , Nintendo Switch 2: 1.6 GB;TV mode , Tabletop mode , Handheld mode;;Narrative adventure;Nintendo Switch;Nintendo;;American English;2021-05-14;2021;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5978
119;Famicom Detective Club™: The Girl Who Stands Behind;34.99;Nintendo Switch: 1.9 GB , Nintendo Switch 2: 1.9 GB;TV mode , Tabletop mode , Handheld mode;;Narrative adventure;Nintendo Switch;Nintendo;;American English;2021-05-14;2021;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5978
120;New Pokémon Snap™;59.99;Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB;TV mode , Tabletop mode , Handheld mode;;Action;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2021-04-30;2021;4;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5964
121;BRAVELY DEFAULT™ II;59.99;Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2021-02-26;2021;2;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5901
